"","Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"1","LP001002","Male","No","0","Graduate","No",5849,0,NA,360,1,"Urban","Y"
"2","LP001003","Male","Yes","1","Graduate","No",4583,1508,128,360,1,"Rural","N"
"3","LP001005","Male","Yes","0","Graduate","Yes",3000,0,66,360,1,"Urban","Y"
"4","LP001006","Male","Yes","0","Not Graduate","No",2583,2358,120,360,1,"Urban","Y"
"5","LP001008","Male","No","0","Graduate","No",6000,0,141,360,1,"Urban","Y"
"6","LP001011","Male","Yes","2","Graduate","Yes",5417,4196,267,360,1,"Urban","Y"
"7","LP001013","Male","Yes","0","Not Graduate","No",2333,1516,95,360,1,"Urban","Y"
"8","LP001014","Male","Yes","3+","Graduate","No",3036,2504,158,360,0,"Semiurban","N"
"9","LP001018","Male","Yes","2","Graduate","No",4006,1526,168,360,1,"Urban","Y"
"10","LP001020","Male","Yes","1","Graduate","No",12841,10968,349,360,1,"Semiurban","N"
"11","LP001024","Male","Yes","2","Graduate","No",3200,700,70,360,1,"Urban","Y"
"12","LP001027","Male","Yes","2","Graduate","",2500,1840,109,360,1,"Urban","Y"
"13","LP001028","Male","Yes","2","Graduate","No",3073,8106,200,360,1,"Urban","Y"
"14","LP001029","Male","No","0","Graduate","No",1853,2840,114,360,1,"Rural","N"
"15","LP001030","Male","Yes","2","Graduate","No",1299,1086,17,120,1,"Urban","Y"
"16","LP001032","Male","No","0","Graduate","No",4950,0,125,360,1,"Urban","Y"
"17","LP001034","Male","No","1","Not Graduate","No",3596,0,100,240,NA,"Urban","Y"
"18","LP001036","Female","No","0","Graduate","No",3510,0,76,360,0,"Urban","N"
"19","LP001038","Male","Yes","0","Not Graduate","No",4887,0,133,360,1,"Rural","N"
"20","LP001041","Male","Yes","0","Graduate","",2600,3500,115,NA,1,"Urban","Y"
"21","LP001043","Male","Yes","0","Not Graduate","No",7660,0,104,360,0,"Urban","N"
"22","LP001046","Male","Yes","1","Graduate","No",5955,5625,315,360,1,"Urban","Y"
"23","LP001047","Male","Yes","0","Not Graduate","No",2600,1911,116,360,0,"Semiurban","N"
